Line 		 Token no. 	 Token 		 Lexeme
1		 0		 Identifier	 include
1		 1		 Special Symbol	 <
1		 2		 Identifier	 string
1		 3		 Identifier	 h
2		 4		 Identifier	 include
2		 5		 Special Symbol	 <
2		 6		 Identifier	 stdio
2		 7		 Identifier	 h
4		 8		 Keyword	 int
4		 9		 Keyword	 main
4		 10		 Special Symbol	 (
4		 11		 Special Symbol	 )
5		 12		 Special Symbol	 {
7		 13		 Keyword	 printf
7		 14		 Special Symbol	 (
7		 15		 Special Symbol	 "
7		 16		 Identifier	 Hello
7		 17		 Identifier	 this
7		 18		 Identifier	 is
7		 19		 Identifier	 Breesa
7		 20		 Special Symbol	 "
7		 21		 Special Symbol	 )
7		 22		 Special Symbol	 ;
8		 23		 Keyword	 return
8		 24		 Digit		 0
8		 25		 Special Symbol	 ;
9		 26		 Special Symbol	 }
